status,example,subexample,page,form,word_form,raw_form,source_judgement,retained_xml_id,translation_zho,raw_ocr_gloss,source_gloss,aligned_gloss_tokens_zho,ocr_match_score,ocr_note,note
include,43,b,75,ma-a-eda-edap ku babalaki mi-badahung tu luma'.,ma-a-eda-edap ku babalaki mi-badahung tu luma'.,ma-a-eda-edap                ku         babalaki         mi-badahung         tu   luma'.,,,長輩互相幫忙蓋屋頂。,MA-A-重疊-幫 主格 長輩 主焦-屋頂 斜格 家,MA-A-重疊-幫 主格 長輩 主焦-屋頂 斜格 家,"[""MA-A-重疊-幫"",""主格"",""長輩"",""主焦-屋頂"",""斜格"",""家""]",0.988,,
include,44,a,75,sa-betas tu cilis a tatak.,sa-betas tu cilis a tatak.,sa-betas                tu          cilis         a           tatak.,,,挖水溝的鋤頭。,工具-撐破 斜格 水道 繫詞 鋤頭,工具-撐破 斜格 水道 繫詞 鋤頭,"[""工具-撐破"",""斜格"",""水道"",""繫詞"",""鋤頭""]",0.977,,
include,44,b,75,mi-cilis tu sa-pa-nanum tu laku.,mi-cilis tu sa-pa-nanum tu laku.,mi-cilis                tu        sa-pa-nanum            tu         laku.,,,引水到水田。,主焦-水道 刹格 工具-PA-水 斜格 水田,主焦-水道 斜格 工具-PA-水 斜格 水田,"[""主焦-水道"",""斜格"",""工具-PA-水"",""斜格"",""水田""]",0.982,,
include,45,a,76,asu' ku cucu nu katalalan a nanum-en!,asu' ku cucu nu katalalan a nanum-en!,asu'        ku      cucu         nu         katalalan   a     nanum-en!,,,牛奶真好喝！,好吃 主格 奶 靥格 牛 繫詞 水-使役,好吃 主格 奶 屬格 牛 繫詞 水-使役,"[""好吃"",""主格"",""奶"",""屬格"",""牛"",""繫詞"",""水-使役""]",0.984,,
include,45,b,76,mi-cucu ku tutuy tu cucu nu ulang.,mi-cucu ku tutuy tu cucu nu ulang.,mi-cucu            ku     tutuy        tu       cucu     nu    ulang.,,,小狗吸吮母狗的奶。,主焦-奶 主格 小狗 斜格 奶 屬格 母的,主焦-奶 主格 小狗 斜格 奶 屬格 母的,"[""主焦-奶"",""主格"",""小狗"",""斜格"",""奶"",""屬格"",""母的""]",0.982,,
include,46,a,78,tabaki ku cebu nu katalalan.,tabaki ku cebu nu katalalan.,tabaki     ku         cebu              nu       katalalan.,,,水牛的膀胱很大。,大 主格 膀胱 屬格 牛,大 主格 膀胱 屬格 牛,"[""大"",""主格"",""膀胱"",""屬格"",""牛""]",0.979,,
include,46,b,78,balaki tu ci Edi' mu-cebu henay.,balaki tu ci Edi' mu-cebu henay.,balaki       tu        ci               Edi'     mu-cebu         henay.,,,Edi'已經長大了還會偷尿床。,長大 斜格 主格 人名 主焦-膀胱 還,長大 斜格 主格 人名 主焦-膀胱 還,"[""長大"",""斜格"",""主格"",""人名"",""主焦-膀胱"",""還""]",0.981,PDF page-image correction: 已 restored from OCR 己.,
include,47,a,78,angcuh ku isi' ni bayi.,angcuh ku isi' ni bayi.,angcuh     ku         isi'        ni           bayi.,,,阿嬤的尿味很臭。,臭主格尿屬格 阿嬤,臭 主格 尿 屬格 阿嬤,"[""臭"",""主格"",""尿"",""屬格"",""阿嬤""]",0.973,,
include,47,b,78,i zazan sa ciniza a mu-isi'.,i zazan sa ciniza a mu-isi'.,i           zazan        sa             ciniza              a    mu-isi'.,,,他撒尿在路邊。,處所格 路 SA 他.主格 繫詞 主焦-尿,處所格 路 SA 他.主格 繫詞 主焦-尿,"[""處所格"",""路"",""SA"",""他.主格"",""繫詞"",""主焦-尿""]",0.955,,
include,48,a,79,mi-belih tu cudad.,mi-belih tu cudad.,mi-belih        tu          cudad.,,,翻開書。,主焦-翻 斜格 書,主焦-翻 斜格 書,"[""主焦-翻"",""斜格"",""書""]",0.968,,
include,48,b,79,mu-belih ci Kacaw tu sa-ka-si-acawa niza.,mu-belih ci Kacaw tu sa-ka-si-acawa niza.,mu-belih   ci         Kacaw tu            sa-ka-si-acawa   niza.,,,Kacaw 本來要結婚但是他反悔了。,主焦-翻 主格 人名 斜格 SA-KA-SI-老婆 他.麡格,主焦-翻 主格 人名 斜格 SA-KA-SI-老婆 他.屬格,"[""主焦-翻"",""主格"",""人名"",""斜格"",""SA-KA-SI-老婆"",""他.屬格""]",0.986,,
include,49,a,80,sanal han tu nu mita tayza ci Panay-an.,sanal han tu nu mita tayza ci Panay-an.,sanal       han        tu         nu   mita                tayza   ci   Panay-an.,,,我們上午再去 Panay那裏。,上午 HAN 斜格 屬格 m-我們，屬格 去 斜格 Panay-斜格,上午 HAN 斜格 屬格 m-我們.屬格 去 斜格 Panay-斜格,"[""上午"",""HAN"",""斜格"",""屬格"",""m-我們.屬格"",""去"",""斜格"",""Panay-斜格""]",0.984,,
include,49,b,81,na-sanal ci Tiway katukuh i tini.,na-sanal ci Tiway katukuh i tini.,na-sanal            ci          Tiway         katukuh          i     tini.,,,Tiway 是今天上午到達這裡的。,過去-上午 主格 人名 到達 處所格 這裡,過去-上午 主格 人名 到達 處所格 這裡,"[""過去-上午"",""主格"",""人名"",""到達"",""處所格"",""這裡""]",1.000,,
include,50,a,81,pacena' henay kaku.,pacena' henay kaku.,pacena’ henay                   kaku.,,,我休息一下。,休息 助詞 我主格,休息 助詞 我.主格,"[""休息"",""助詞"",""我.主格""]",0.970,,
include,50,b,82,na-pacena' tu ci Padakaw i zazan.,na-pacena' tu ci Padakaw i zazan.,na-pacena’           tu         ci      Padakaw         i   zazan.,,,Padakaw 在途中休息過了。,完成-休息 完成貌 主格 人名 處所格 路上,完成-休息 完成貌 主格 人名 處所格 路上,"[""完成-休息"",""完成貌"",""主格"",""人名"",""處所格"",""路上""]",0.982,,
include,51,a,83,pazeng han kiya tuud i tiza kapah tu.,pazeng han kiya tuud i tiza kapah tu.,pazeng han              kiya tuud             i        tiza         kapah     tu.,,,東西放在那裏就好了。,放 HAN 那個 東西 處所格 那裡 好完成貌,放 HAN 那個 東西 處所格 那裡 好 完成貌,"[""放"",""HAN"",""那個"",""東西"",""處所格"",""那裡"",""好"",""完成貌""]",0.983,,
include,51,b,83,nu canan ku ni-pazeng ni Tuy i sulu?,nu canan ku ni-pazeng ni Tuy i sulu?,nu     canan       ku        ni-pazeng            ni    Tuy         i         sulu?,,,Tuy 的倉庫放置什麼東西？,屬格 什麼 主格 名物化-放 屬格 人名 處所格 倉庫,屬格 什麼 主格 名物化-放 屬格 人名 處所格 倉庫,"[""屬格"",""什麼"",""主格"",""名物化-放"",""屬格"",""人名"",""處所格"",""倉庫""]",0.982,,
include,51,c,83,pa-ayaw-an tu ni-zateng nu misu.,pa-ayaw-an tu ni-zateng nu misu.,pa-ayaw-an         tu        ni-zateng            nu    misu.,,,以你的想法為主。,PA-先-AN 斜格 NI-想 屬格 m-你.屬格,PA-先-AN 斜格 NI-想 屬格 m-你.屬格,"[""PA-先-AN"",""斜格"",""NI-想"",""屬格"",""m-你.屬格""]",0.982,PDF page-image correction: 為主 restored from OCR 寫主.,
include,52,a,84,mu-lenek kiya balunga.,mu-lenek kiya balunga.,mu-lenek         kiya   balunga.,,,那艘船沉沒了。,主焦-沈 那個 船,主焦-沈 那個 船,"[""主焦-沈"",""那個"",""船""]",0.974,,
include,52,b,84,pa-balunga tayza i Butud.,pa-balunga tayza i Butud.,pa-balunga      tayza      i        Butud.,,,划船去蘭嶼。,PA-船 去 處所格蘭嶼,PA-船 去 處所格 蘭嶼,"[""PA-船"",""去"",""處所格"",""蘭嶼""]",0.977,,
include,53,a,85,tanaya' tu ku ciid nu kilang.,tanaya' tu ku ciid nu kilang.,tanaya' tu             ku    ciid     nu          kilang.,,,樹的枝芽長長了。,長屬格 爸爸枝 蟨格樹,長 屬格 爸爸 枝 屬格 樹,"[""長"",""屬格"",""爸爸"",""枝"",""屬格"",""樹""]",0.979,PDF page-image verified interlinear column alignment.,
include,53,b,85,pa-hezek mi-niwaniw pa-ciid tu ku tipus.,pa-hezek mi-niwaniw pa-ciid tu ku tipus.,pa-hezek         mi-niwaniw pa-ciid        tu          ku       tipus.,,,除草完稻子就開始長芽。,PA-完成 MI-除草 PA-枝 完成貌 主格 稻,PA-完成 MI-除草 PA-枝 完成貌 主格 稻,"[""PA-完成"",""MI-除草"",""PA-枝"",""完成貌"",""主格"",""稻""]",0.986,,
include,54,a,86,daesu nu i pabaw-ay kuyni.,daesu nu i pabaw-ay kuyni.,daesu       nu i             pabaw-ay              kuyni.,,,這是上天的恩賜。,恩賜 屬格處所格 上-AY 這個,恩賜 屬格 處所格 上-AY 這個,"[""恩賜"",""屬格"",""處所格"",""上-AY"",""這個""]",0.977,,
include,54,b,86,pa-daesu ku i pabaw-ay a Di'tu.,pa-daesu ku i pabaw-ay a Di'tu.,pa-daesu        ku           i          pabaw-ay        a          Di'tu.,,,天神賜下福氣。,PA-恩賜 主格 處所格 上-AY 繫詞 神,PA-恩賜 主格 處所格 上-AY 繫詞 神,"[""PA-恩賜"",""主格"",""處所格"",""上-AY"",""繫詞"",""神""]",0.960,,
include,55,a,86,bangsis ku balu nu mami'.,bangsis ku balu nu mami'.,bangsis ku                balu     nu          mami'.,,,柚子的花很香。,香 主格 花 屬格 柚子,香 主格 花 屬格 柚子,"[""香"",""主格"",""花"",""屬格"",""柚子""]",0.950,,
include,55,b,86,pa-bangsis ci Panay tu bukes niza.,pa-bangsis ci Panay tu bukes niza.,pa-bangsis         ci      Panay        tu     bukes        niza.,,,Panay 讓她的頭髮散發香味。,PA-香 主格 人名 斜格 頭髮 他.格,PA-香 主格 人名 斜格 頭髮 他.屬格,"[""PA-香"",""主格"",""人名"",""斜格"",""頭髮"",""他.屬格""]",0.964,,
include,56,a,87,mi-tengil tu pelu.,mi-tengil tu pelu.,mi-tengil         tu      pelu.,,,聽演講。,主焦-聽 斜格 演講,主焦-聽 斜格 演講,"[""主焦-聽"",""斜格"",""演講""]",0.968,,
include,56,b,88,pi-tengil tu kamu nu ba-balaki!,pi-tengil tu kamu nu ba-balaki!,pi-tengil tu            kamu        nu         ba-balaki!,,,要聽從長輩的話！,祈使-聽 刹格 話屬格 重疊-長人,祈使-聽 斜格 話 屬格 重疊-長人,"[""祈使-聽"",""斜格"",""話"",""屬格"",""重疊-長人""]",0.943,,
include,57,a,88,tudung-han ni Lali' ci Ibun mu-culil ma-balucu' ci Ibun.,tudung-han ni Lali' ci Ibun mu-culil ma-balucu' ci Ibun.,tudung-han       ni        Lali'    ci        Ibun mu-culil ma-balucu' ci         Ibun.,,,Lali模仿 Ibun 走路，Ibun 就生氣了。,模仿-受焦 屬格 人名 主格 人名 Mu-走 MA-心 主格人名,模仿-受焦 屬格 人名 主格 人名 Mu-走 MA-心 主格 人名,"[""模仿-受焦"",""屬格"",""人名"",""主格"",""人名"",""Mu-走"",""MA-心"",""主格"",""人名""]",0.936,PDF page-image correction: the second Ibun restored from OCR lbun.,
include,57,b,88,pi-tudung tu kapah-ay-ay a wayway.,pi-tudung tu kapah-ay-ay a wayway.,pi-tudung         tu         kapah-ay-ay           a             wayway.,,,要學習好的行為。,祈使-模仿 斜格 好的-AY-AY 繫詞 行為,祈使-模仿 斜格 好的-AY-AY 繫詞 行為,"[""祈使-模仿"",""斜格"",""好的-AY-AY"",""繫詞"",""行為""]",0.983,,
include,57,c,88,ma-tineng kaku mi-tudung tu ngiha' nu ayam.,ma-tineng kaku mi-tudung tu ngiha' nu ayam.,ma-tineng        kaku        mi-tudung           tu          ngiha'      nu   ayam.,,,我很會學鳥叫。,主焦-會 我.主格 主焦-模仿 斜格 聲音 蟨格 鳥,主焦-會 我.主格 主焦-模仿 斜格 聲音 屬格 鳥,"[""主焦-會"",""我.主格"",""主焦-模仿"",""斜格"",""聲音"",""屬格"",""鳥""]",0.986,,
include,58,a,90,mi-cakay kaku tu sa-emic.,mi-cakay kaku tu sa-emic.,mi-cakay          kaku        tu            sa-emic.,,,我買夾子。,主焦-買 我主格 斜格 工具-夾,主焦-買 我.主格 斜格 工具-夾,"[""主焦-買"",""我.主格"",""斜格"",""工具-夾""]",0.977,,
include,58,b,90,ma-hetik ku sa-kupit nu zikuc nu maku.,ma-hetik ku sa-kupit nu zikuc nu maku.,ma-hetik         ku       sa-kupit    nu      zikuc    nu maku.,,,我衣服的鈕扣掉了。,MA-掉 ：主格 工具-扣 屬格 衣服 屬格 m-我.屬格,MA-掉 主格 工具-扣 屬格 衣服 屬格 m-我.屬格,"[""MA-掉"",""主格"",""工具-扣"",""屬格"",""衣服"",""屬格"",""m-我.屬格""]",0.984,,
include,59,a,90,hina-bulibul ku ma-busuk-ay.,hina-bulibul ku ma-busuk-ay.,hina-bulibul ku           ma-busuk-ay.,,,酒醉的人時常擾亂。,常-擾亂 主格 MA-醉-AY,常-擾亂 主格 MA-醉-AY,"[""常-擾亂"",""主格"",""MA-醉-AY""]",0.980,,
include,59,b,91,sa-bulibul nu niyazu' ci Pasang.,sa-bulibul nu niyazu' ci Pasang.,sa-bulibul             nu      niyazu'         ci     Pasang.,,,Pasang 是部落裡的流氓。,名物化-擾亂 屬格 部落 主格 人名,名物化-擾亂 屬格 部落 主格 人名,"[""名物化-擾亂"",""屬格"",""部落"",""主格"",""人名""]",1.000,PDF page-image correction: 流氓 restored from OCR 流哦.,
include,60,a,91,kizemu kaku likecu tu ku zikuc.,kizemu kaku likecu tu ku zikuc.,kizemu          kaku          likecu      tu             ku         zikuc.,,,我胖衣服都窄了。,胖 我主格 窄 完成貌 主格 衣服,胖 我.主格 窄 完成貌 主格 衣服,"[""胖"",""我.主格"",""窄"",""完成貌"",""主格"",""衣服""]",0.980,,
include,60,b,92,sa-likecu sa tu ku calaped a sa-calaped-en.,sa-likecu sa tu ku calaped a sa-calaped-en.,sa-likecu    sa        tu           ku         calaped     a     sa-calaped-en.,,,褲子穿起來很緊。,SA-窄 SA TU 主格 褲子 繫詞 工具-褲子-EN,SA-窄 SA TU 主格 褲子 繫詞 工具-褲子-EN,"[""SA-窄"",""SA"",""TU"",""主格"",""褲子"",""繫詞"",""工具-褲子-EN""]",1.000,,
include,61,a,94,ma-hiza u apuk ku abu.,ma-hiza u apuk ku abu.,ma-hiza             u           apuk          ku     abu.,,,灰燼正如石灰。,主焦-那樣 普名標記 石灰 主格 灰燼,主焦-那樣 普名標記 石灰 主格 灰燼,"[""主焦-那樣"",""普名標記"",""石灰"",""主格"",""灰燼""]",0.971,,
include,61,b,94,si-apuk ku bila'.,si-apuk ku bila'.,si-apuk             ku     bila'.,,,檳榔葉上有石灰。,有-石灰 主格 荖葉,有-石灰 主格 荖葉,"[""有-石灰"",""主格"",""荖葉""]",0.929,,
include,62,a,94,cupelak ku alupal nu Taywan.,cupelak ku alupal nu Taywan.,cupelak ku alupal               nu             Taywan.,,,臺灣出產的柿子澀澀的。,澀 主格柿子 屬格 臺灣,澀 主格 柿子 屬格 臺灣,"[""澀"",""主格"",""柿子"",""屬格"",""臺灣""]",0.979,,
include,62,b,94,si-alupal ci Muli i buyu'.,si-alupal ci Muli i buyu'.,si-alupal           ci      Muli         i           buyu'.,,,Muli 的山上有種柿子。,有-柿子 主格 人名 處所格 山上,有-柿子 主格 人名 處所格 山上,"[""有-柿子"",""主格"",""人名"",""處所格"",""山上""]",0.977,,
include,63,a,94,kapah ku balucu' nu apet aku.,kapah ku balucu' nu apet aku.,kapah          ku        balucu' nu           apet      aku.,,,我的妯娌心很善良。,善良 主格 ：心 屬格 妯娌 我.屬格,善良 主格 心 屬格 妯娌 我.屬格,"[""善良"",""主格"",""心"",""屬格"",""妯娌"",""我.屬格""]",0.979,,
include,63,b,94,si-apet kaku tu padaka.,si-apet kaku tu padaka.,si-apet             kaku            tu    padaka.,,,我有外國人的妯娌。,有-妯娌 我.主格 斜格 外國人,有-妯娌 我.主格 斜格 外國人,"[""有-妯娌"",""我.主格"",""斜格"",""外國人""]",0.974,,
include,64,a,95,sa-pi-dadum ita ku bakici.,sa-pi-dadum ita ku bakici.,sa-pi-dadum                       ita                ku     bakici.,,,水桶是我們挑水的工具。,工具-新使-挑水 我們.屬格 主格 水桶,工具-新使-挑水 我們.屬格 主格 水桶,"[""工具-新使-挑水"",""我們.屬格"",""主格"",""水桶""]",0.978,,
include,64,b,95,si-bakici kaku mi-dadum.,si-bakici kaku mi-dadum.,si-bakici                  kaku         mi-dadum.,,,我帶水桶去取水。,帶-水桶 我.主格 主焦-挑水,帶-水桶 我.主格 主焦-挑水,"[""帶-水桶"",""我.主格"",""主焦-挑水""]",0.977,,
include,65,a,96,nanu belac ku sa-pi-sa-aam.,nanu belac ku sa-pi-sa-aam.,nanu               belac    ku       sa-pi-sa-aam.,,,稀飯是由米所煮成的。,曾經 米 主格 工具-祈使-工具-稀飯,曾經 米 主格 工具-祈使-工具-稀飯,"[""曾經"",""米"",""主格"",""工具-祈使-工具-稀飯""]",0.979,,
include,65,b,96,si-belac ta-buyu' mi-adup.,si-belac ta-buyu' mi-adup.,si-belac             ta-buyu'        mi-adup.,,,帶米上山打獵。,帶-米 去-山上 主焦-打獵,帶-米 去-山上 主焦-打獵,"[""帶-米"",""去-山上"",""主焦-打獵""]",0.979,,
include,66,a,97,pa-wali-en ku calaped i putah.,pa-wali-en ku calaped i putah.,pa-wali-en            ku               calaped                  i               putah.,,,把褲子拿到廣場去曬。,使役-曬-受焦 主格 褲子 處所格 廣場,使役-曬-受焦 主格 褲子 處所格 廣場,"[""使役-曬-受焦"",""主格"",""褲子"",""處所格"",""廣場""]",0.980,,
include,66,b,97,si-calaped ku tademaw amin.,si-calaped ku tademaw amin.,si-calaped          ku           tademaw           amin.,,,人們都穿褲子。,穿-褲子 主格 人 全部的,穿-褲子 主格 人 全部的,"[""穿-褲子"",""主格"",""人"",""全部的""]",0.979,,
include,67,a,97,kapah azih-en ku tatamus i taludu' isu.,kapah azih-en ku tatamus i taludu' isu.,kapah         azih-en            ku        tatamus    i                    taludu'          isu.,,,你手指頭上的戒指很好看。,好看-受焦 主格 戒指 處所格 手指 你.鷵格,好 看-受焦 主格 戒指 處所格 手指 你.屬格,"[""好"",""看-受焦"",""主格"",""戒指"",""處所格"",""手指"",""你.屬格""]",0.985,PDF page-image verified interlinear column alignment.,
include,67,b,97,si-tatamus ku taludu' ni Bineng.,si-tatamus ku taludu' ni Bineng.,si-tatamus          ku            taludu'     ni      Bineng.,,,Bineng的手指頭上戴著戒指。,戴-戒指 主格 手指 屬格人名,戴-戒指 主格 手指 屬格 人名,"[""戴-戒指"",""主格"",""手指"",""屬格"",""人名""]",0.982,,
include,68,a,98,akuti' ku cilal i lalud.,akuti' ku cilal i lalud.,akuti'      ku       cilal i              lalud.,,,夏天的太陽很熱。,熱 主格 太陽 處所格 夏天,熱 主格 太陽 處所格 夏天,"[""熱"",""主格"",""太陽"",""處所格"",""夏天""]",0.974,,
include,68,b,99,si-cilal ayza a demiad.,si-cilal ayza a demiad.,si-cilal         ayza             a            demiad.,,,今天出太陽。,產生-太陽 今天 繫詞 日子,產生-太陽 今天 繫詞 日子,"[""產生-太陽"",""今天"",""繫詞"",""日子""]",0.947,,
include,69,a,99,mu-lusu' ku tanang nay zais.,mu-lusu' ku tanang nay zais.,mu-lusu'           ku            tanang        nay            zais.,,,汗由額頭流下。,主焦-流下 主格 汗水 從 額頭,主焦-流下 主格 汗水 從 額頭,"[""主焦-流下"",""主格"",""汗水"",""從"",""額頭""]",0.979,,
include,69,b,99,si-tanang kisu mi-sa-ka-kawaw.,si-tanang kisu mi-sa-ka-kawaw.,si-tanang         kisu                 mi-sa-ka-kawaw.,,,你工作有流汗。,產生-汗 你.主格 •MI-SA-重疊-工作,產生-汗 你.主格 MI-SA-重疊-工作,"[""產生-汗"",""你.主格"",""MI-SA-重疊-工作""]",0.982,,
include,70,a,99,kapah azih-en kiya ngawa' nu katalalan.,kapah azih-en kiya ngawa' nu katalalan.,kapah       azih-en              kiya        ngawa'              nu   katalalan.,,,牛的那隻角看起來很好。,好 看-受焦 那個 角 屬格 牛,好 看-受焦 那個 角 屬格 牛,"[""好"",""看-受焦"",""那個"",""角"",""屬格"",""牛""]",0.985,,
include,70,b,99,si-ngawa' ku katalalan.,si-ngawa' ku katalalan.,si-ngawa'        ku              katalalan.,,,牛長牛角。,長-角 主格 牛,長-角 主格 牛,"[""長-角"",""主格"",""牛""]",0.976,,
include,71,a,99,yadah ku tibeni i kulul ni Laling.,yadah ku tibeni i kulul ni Laling.,yadah       ku tibeni                  i             kulul       ni   Laling.,,,Laling的背上很多痱子。,多 主格痱子 處所格 背 屬格 人名,多 主格 痱子 處所格 背 屬格 人名,"[""多"",""主格"",""痱子"",""處所格"",""背"",""屬格"",""人名""]",0.982,,
include,71,b,99,caledes si-tibeni ku kulul.,caledes si-tibeni ku kulul.,caledes          si-tibeni              ku           kulul.,,,天氣熱背長痱子。,大氣熱 長-痱子 主格 背,大氣熱 長-痱子 主格 背,"[""大氣熱"",""長-痱子"",""主格"",""背""]",0.979,,
include,72,a,101,i amis ku luma' nu maku.,i amis ku luma' nu maku.,i               amis       ku      luma'         nu        maku.,,,我住北部,處所格 北 主格 家 屬格 m-我.屬格,處所格 北 主格 家 屬格 m-我.屬格,"[""處所格"",""北"",""主格"",""家"",""屬格"",""m-我.屬格""]",0.973,PDF page-image verified source translation without final punctuation.,
include,72,b,102,ta-amis ku culil ni Unu na-sananl.,ta-amis ku culil ni Unu na-sananl.,ta-amis       ku       culil        ni        Unu         na-sananl.,,,Unu 早上往北走。,TA-北 主格 走 屬格 人名 過去-早上,TA-北 主格 走 屬格 人名 過去-早上,"[""TA-北"",""主格"",""走"",""屬格"",""人名"",""過去-早上""]",0.982,,
include,73,a,102,yadah ku balaut i laku.,yadah ku balaut i laku.,yadah      ku balaut           i              laku.,,,水田裏有很多青蛙。,多 主格青蛙 處所格 水田,多 主格 青蛙 處所格 水田,"[""多"",""主格"",""青蛙"",""處所格"",""水田""]",0.973,,
include,73,b,102,ta-laku kita mi-azih tu tipus.,ta-laku kita mi-azih tu tipus.,ta-laku        kita            mi-azih              tu         tipus.,,,我們去水田看稻子。,TA-水田 我們.主格 主焦-看 斜格 稻子,TA-水田 我們.主格 主焦-看 斜格 稻子,"[""TA-水田"",""我們.主格"",""主焦-看"",""斜格"",""稻子""]",0.980,,
include,74,a,102,i cuwa ku luma' isu?,i cuwa ku luma' isu?,i          cuwa        ku          luma'          isu?,,,你的家住那裡？,處所格 那裡 主格 家 你.屬格,處所格 那裡 主格 家 你.屬格,"[""處所格"",""那裡"",""主格"",""家"",""你.屬格""]",0.968,,
include,74,b,102,ta-cuwa kamu a-mi-dang?,ta-cuwa kamu a-mi-dang?,ta-cuwa        kamu            a-mi-dang?,,,你們要去哪裡玩呢？,TA-那裡 你們.主格 將-主焦-玩,TA-那裡 你們.主格 將-主焦-玩,"[""TA-那裡"",""你們.主格"",""將-主焦-玩""]",0.976,,
excluded_exact_repeat,75,a,103,sanal han tu nu mita tayza ci Panay-an.,sanal han tu nu mita tayza ci Panay-an.,sanal    han   tu     nu       mita               tayza    ci    Panay-an.,,AKIW_SZY_2012_EX_049A,我們上午再去Panay那裏。,上午 HAN TU 屬格 m-我們，屬格 去 斜格 人名-斜格,上午 HAN TU 屬格 m-我們.屬格 去 斜格 人名-斜格,"[""上午"",""HAN"",""TU"",""屬格"",""m-我們.屬格"",""去"",""斜格"",""人名-斜格""]",0.984,,Exact source-form repeat of example 049a; extracted text page 80; represented by AKIW_SZY_2012_EX_049A. This row's source translation and gloss remain in the ledger.
include,75,b,104,caay kanca ka-tayni anu-sanal mi-cudad.,caay kanca ka-tayni anu-sanal mi-cudad.,caay kanca    ka-tayni           anu-sanal         mi-cudad.,,,明天上午務必要來上課。,不要 不能不 輕微命令-來 下一個-上午 主焦-讀書,不要 不能不 輕微命令-來 下一個-上午 主焦-讀書,"[""不要"",""不能不"",""輕微命令-來"",""下一個-上午"",""主焦-讀書""]",0.986,,
include,76,a,105,ma-namuh kaku mu-kan tu buting.,ma-namuh kaku mu-kan tu buting.,ma-namuh      kaku           mu-kan                    tu             buting.,,,我喜歡吃魚。,受焦-喜歡 我.主格 主焦-吃 斜格 魚,受焦-喜歡 我.主格 主焦-吃 斜格 魚,"[""受焦-喜歡"",""我.主格"",""主焦-吃"",""斜格"",""魚""]",0.981,,
include,76,b,105,hali-buting ci ama nu maku.,hali-buting ci ama nu maku.,hali-buting    ci       ama   nu            maku.,,,我爸爸喜歡吃魚。,喜歡-魚 主格 父親 屬格 •m-我.屬格,喜歡-魚 主格 父親 屬格 m-我.屬格,"[""喜歡-魚"",""主格"",""父親"",""屬格"",""m-我.屬格""]",0.978,,
include,77,a,106,caay pahengad.,caay pahengad.,caay      pahengad.,,,不會欺騙。,不 欺騙,不 欺騙,"[""不"",""欺騙""]",0.960,,
include,77,b,106,hali-pahengad kiya wawa tiya ba-balaki.,hali-pahengad kiya wawa tiya ba-balaki.,hali-pahengad kiya         wawa    tiya   ba-balaki.,,,那個小孩很會欺騙老人。,喜歡-欺騙 那個 孩子 那個 重疊-長大,喜歡-欺騙 那個 孩子 那個 重疊-長大,"[""喜歡-欺騙"",""那個"",""孩子"",""那個"",""重疊-長大""]",0.986,,
include,78,a,107,ma-dihi tu ba-balaki kiya tayling.,ma-dihi tu ba-balaki kiya tayling.,ma-dihi               tu      ba-balaki        kiya    tayling.,,,那位警察關心老人。,主焦-可憐 斜格 重疊-長大 那 警察,主焦-可憐 斜格 重疊-長大 那 警察,"[""主焦-可憐"",""斜格"",""重疊-長大"",""那"",""警察""]",0.983,,
include,78,b,107,hina-dihi tu ba-balaki ci Kawpil.,hina-dihi tu ba-balaki ci Kawpil.,hina-dihi            tu       ba-balaki         ci       Kawpil.,,,Kawpil 對長輩很有愛心。,常常-可憐 斜格 重疊-長大 主格 人名,常常-可憐 斜格 重疊-長大 主格 人名,"[""常常-可憐"",""斜格"",""重疊-長大"",""主格"",""人名""]",0.982,,
include,79,a,108,angic sa kiya lutungay.,angic sa kiya lutungay.,angic          sa    kiya    lutungay.,,,小嬰兒哭不停。,哭 SA那嬰兒,哭 SA 那 嬰兒,"[""哭"",""SA"",""那"",""嬰兒""]",0.974,PDF page-image verified interlinear column alignment.,
include,79,b,109,kala-angic ku lutungay ma-nanam a ma-abibi.,kala-angic ku lutungay ma-nanam a ma-abibi.,kala-angic       ku          lutungay ma-nanam             a        ma-abibi.,,,嬰孩被抱習慣，一不抱就會愛哭。,常常-哭 主格 嬰兒 主焦-習慣 繫詞 受焦-抱,常常-哭 主格 嬰兒 主焦-習慣 繫詞 受焦-抱,"[""常常-哭"",""主格"",""嬰兒"",""主焦-習慣"",""繫詞"",""受焦-抱""]",0.987,,
include,80,a,110,limulak ku balucu' nu katuuday.,limulak ku balucu' nu katuuday.,limulak ku         balucu' nu          katuuday.,,,大家的心裡都高興。,高興 主格心 屬格 大家,高興 主格 心 屬格 大家,"[""高興"",""主格"",""心"",""屬格"",""大家""]",0.981,,
include,80,b,110,tada-limulak ku balucu' a ma-ka-azih i tamuwan-an.,tada-limulak ku balucu' a ma-ka-azih i tamuwan-an.,tada-limulak           ku balucu'         a     ma-ka-azih     i   tamuwan-an.,,,非常高興見到你們。,非常的-高興 主格心！ 繫詞 MA-KA-看 處所格 我們，斜格-AN,非常的-高興 主格 心 繫詞 MA-KA-看 處所格 我們.斜格-AN,"[""非常的-高興"",""主格"",""心"",""繫詞"",""MA-KA-看"",""處所格"",""我們.斜格-AN""]",0.989,PDF page-image verified interlinear column alignment.,
