pdf_page,printed_page,source_locator,page_entry_record,target_text,translation_gloss_segmentation,method,confidence_review_note,included,exclusion_reason,final_xml_path,final_s_id
9,124,"attachment PDF p. 9; printed p. 124, row 18",dispersion sentence 18,"Taumaumauwan, pis-su lik-khit di sug-ngut",投茅々灣滑落于橋下,manual transcription from scan; OCR used only as a diagnostic,high; Corrected second character to printed 茅 after enlarged scan review,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s018
9,124,"attachment PDF p. 9; printed p. 124, row 19",dispersion sentence 19,"alu-lai siah, Tatumaumauwan",喚其上來者乃是,manual transcription from scan; OCR used only as a diagnostic,high; Corrects inherited name spelling,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s019
9,124,"attachment PDF p. 9; printed p. 124, row 20",dispersion sentence 20,"us-sa laisu, mausaih-yakuh",答曰汝自囘去、我要去,manual transcription from scan; OCR used only as a diagnostic,high; Corrected 同 to printed historical 囘 after enlarged scan review,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s020
9,124,"attachment PDF p. 9; printed p. 124, row 21",dispersion sentence 21,"mahah luk-khut, luk-khut-tu noang",變爲鹿乃是麞鹿也,manual transcription from scan; OCR used only as a diagnostic,high; Printed source unit and prewar 爲 and 麞 glyphs preserved,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s021
9,124,"attachment PDF p. 9; printed p. 124, rows 22-23",dispersion sentence 22,"Tatumaumauwan, kahah mausai mahah dakho",不得已自去爲生蕃也,manual transcription from scan; OCR used only as a diagnostic,high; Two printed Formosan lines share one translation; prewar 爲 preserved,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s021b
9,124,"attachment PDF p. 9; printed p. 124, row 24",dispersion sentence 23,"Aiyan nu aiyan, saisaiya wilan.",,manual transcription from scan; OCR used only as a diagnostic,high; Printed closing refrain has no aligned translation,true,,XML/Pazeh/Nanpo_Dozoku_1931_Hanran_go_Jinmin_Bunkyo_no_Uta.xml,nanpo1931_dispersion_s022
10,125,p125 upper block,philological notes,,Section III 試註 continuation through note 24,manual visual inventory of rendered scan,high; Visually reviewed; evidence used to resolve readings,false,"Japanese scholarly notes, not target-language sentence rows",,
10,125,p125 lower block,free summary,,Section III (3) 大意 begins,manual visual inventory of rendered scan,high; Visually reviewed,false,"Japanese poetic summary, not aligned source translation rows",,
11,126,p126 full page,free summary,,Section III 大意 conclusion,manual visual inventory of rendered scan,high; Visually reviewed,false,"Japanese poetic summary, not aligned source translation rows",,
12,unnumbered,colophon,publication metadata,,"Editors, publisher, printer, dates, price",manual visual inventory of rendered scan,high; Visually reviewed,false,"Publication metadata, not target-language content",,
13,unnumbered,English contents page,publication metadata,,"English title, volume, issue, date, contents, author B. Sato",manual visual inventory of rendered scan,"high; Visually reviewed; used for title, author, language identity, and date",false,"Publication metadata, not target-language content",,
14,unnumbered,Japanese cover and contents,publication metadata,,"Cover, issue date, Japanese contents, 大社庄の蕃歌, 佐藤文一",manual visual inventory of rendered scan,high; Visually reviewed; used to expand author name,false,"Publication metadata, not target-language content",,
