pair,source_phrase_clean,ildrf_source_found,ildrf_reference_files,ildrf_chinese_glosses,glosbe_targets_for_source,mapping_supported_targets,mapping_different_targets,unmapped_targets,unattested_source_targets,decision
"tay,en",ngatoq,no,,,button,,,,button,keep_all_structurally_valid_targets
"tay,en",ngayoq,no,,,groan,,,,groan,keep_all_structurally_valid_targets
"tay,en",ngbang,no,,,cave,,,,cave,keep_all_structurally_valid_targets
"tay,en",ngbung,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,黃蜂,wasp,,,wasp,,keep_all_structurally_valid_targets
"tay,en",ngiaw,no,,,cat,,,,cat,keep_all_structurally_valid_targets
"tay,en",ngli',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,蒼蠅,fly; housefly,fly; housefly,,,,keep_all_structurally_valid_targets
"tay,en",ngrasal,no,,,house,,,,house,keep_all_structurally_valid_targets
"tay,en",ngta',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,雞,chicken,,,chicken,,keep_all_structurally_valid_targets
"tay,en",nguciq,no,,,dullwitted,,,,dullwitted,keep_all_structurally_valid_targets
"tay,en",nguhuw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,鼻子,nose,,,nose,,keep_all_structurally_valid_targets
"tay,en",ngungu',no,,,fear,,,,fear,keep_all_structurally_valid_targets
"tay,en",ngungu,no,,,tail,,,,tail,keep_all_structurally_valid_targets
"tay,en",nguqiy,no,,,antler,,,,antler,keep_all_structurally_valid_targets
"tay,en",ngurus,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,鬍鬚,beard,,,beard,,keep_all_structurally_valid_targets
"tay,en",nguziq,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,貓頭鷹,owl,,,owl,,keep_all_structurally_valid_targets
"tay,en",nha,no,,,they,,,,they,keep_all_structurally_valid_targets
"tay,en",nhaban,no,,,"alliance; sting; wound, injury",,,,"alliance; sting; wound, injury",keep_all_structurally_valid_targets
"tay,en",nhay,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,快點,quickly,,,quickly,,keep_all_structurally_valid_targets
"tay,en",niban,no,,,"slice, section",,,,"slice, section",keep_all_structurally_valid_targets
"tay,en",niqan,no,,,social group,,,,social group,keep_all_structurally_valid_targets
"tay,en",nniqan,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,吃飯的地方、餐廳、小吃店; 宗族,table,,,table,,keep_all_structurally_valid_targets
"tay,en",nquak,no,,,mouth,,,,mouth,keep_all_structurally_valid_targets
"tay,en",nqumi',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,第二年耕地,fallow land,fallow land,,,,keep_all_structurally_valid_targets
"tay,en",nuga',no,,,"whorl, flywheel on spindle",,,,"whorl, flywheel on spindle",keep_all_structurally_valid_targets
"tay,en",nuka',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,織布用的素麻線; 麻線,hemp,,,hemp,,keep_all_structurally_valid_targets
"tay,en",nwaring,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,裝載,"bundle, package",,,"bundle, package",,keep_all_structurally_valid_targets
"tay,en",nya,no,,,he,,,,he,keep_all_structurally_valid_targets
"tay,en",nzihuan,no,,,necklace,,,,necklace,keep_all_structurally_valid_targets
"tay,en",paga',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,屋內置物架; 背薪架,stand for heads,,,stand for heads,,keep_all_structurally_valid_targets
"tay,en",pagay,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,稻穀; 稻米,rice,,,rice,,keep_all_structurally_valid_targets
"tay,en",paiat,no,,,four,,,,four,keep_all_structurally_valid_targets
"tay,en",paiyat,no,,,four,,,,four,keep_all_structurally_valid_targets
"tay,en",pala',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,布匹; 揹小孩的背帶; 方布,hemp cloth,,,hemp cloth,,keep_all_structurally_valid_targets
"tay,en",pali',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,翅膀,feather; wing,wing,feather,,,keep_all_structurally_valid_targets
"tay,en",pangeh,no,,,"rash, boil, abscess, pimples",,,,"rash, boil, abscess, pimples",keep_all_structurally_valid_targets
"tay,en",papak,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,耳朵,ear,,,ear,,keep_all_structurally_valid_targets
"tay,en",paqi',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,米糠,"rice husk, rice bran",,,"rice husk, rice bran",,keep_all_structurally_valid_targets
"tay,en",para',no,,,deer,,,,deer,keep_all_structurally_valid_targets
"tay,en",para,no,,,mountain deer,,,,mountain deer,keep_all_structurally_valid_targets
"tay,en",paris,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,敵人,enemy,enemy,,,,keep_all_structurally_valid_targets
"tay,en",parung,no,,,pine tree,,,,pine tree,keep_all_structurally_valid_targets
"tay,en",patas,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,畫、紋面; 色調、色彩、,tattoo,,,tattoo,,keep_all_structurally_valid_targets
"tay,en",patus,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,槍; 開槍,gun,,,gun,,keep_all_structurally_valid_targets
"tay,en",patut,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,斧頭,axe,,,axe,,keep_all_structurally_valid_targets
"tay,en",pcyuwagun,no,,,"work, job, occupation",,,,"work, job, occupation",keep_all_structurally_valid_targets
"tay,en",pcywagun ngasal,no,,,homework,,,,homework,keep_all_structurally_valid_targets
"tay,en",pgey,no,,,scram,,,,scram,keep_all_structurally_valid_targets
"tay,en",pgo',no,,,flute,,,,flute,keep_all_structurally_valid_targets
"tay,en",ph'gup,no,,,shaman,,,,shaman,keep_all_structurally_valid_targets
"tay,en",phogung,no,,,fines,,,,fines,keep_all_structurally_valid_targets
"tay,en",piah,no,,,candy,,,,candy,keep_all_structurally_valid_targets
"tay,en",piatu',no,,,bowl,,,,bowl,keep_all_structurally_valid_targets
"tay,en",piit,no,,,tweet,,,,tweet,keep_all_structurally_valid_targets
"tay,en",piku',no,,,squirrel,,,,squirrel,keep_all_structurally_valid_targets
"tay,en",pila',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,錢,money; silver,money; silver,,,,keep_all_structurally_valid_targets
"tay,en",pilaw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,照亮、照明,lamp,lamp,,,,keep_all_structurally_valid_targets
"tay,en",pima,no,,,towel,,,,towel,keep_all_structurally_valid_targets
"tay,en",pincbaqan,no,,,learning place,,,,learning place,keep_all_structurally_valid_targets
"tay,en",pinsku',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,使...儲藏、安置,woman's earring,,,woman's earring,,keep_all_structurally_valid_targets
"tay,en",pinyangan,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,耕種,clearing,,,clearing,,keep_all_structurally_valid_targets
"tay,en",pira'qawas su?,no,,,How old are you?,,,,How old are you?,keep_all_structurally_valid_targets
"tay,en",pitay,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,女子名,bedbug,,bedbug,,,keep_all_structurally_valid_targets
"tay,en",pkaroh,no,,,hoe,,,,hoe,keep_all_structurally_valid_targets
"tay,en",plos,no,,,reel,,,,reel,keep_all_structurally_valid_targets
"tay,en",pman hi,no,,,washing,,,,washing,keep_all_structurally_valid_targets
"tay,en",pngran,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,鳳梨,pineapple,,,pineapple,,keep_all_structurally_valid_targets
"tay,en",ppatas,no,,,chalk,,,,chalk,keep_all_structurally_valid_targets
"tay,en",pqzi',no,,,"thorn, prickle",,,,"thorn, prickle",keep_all_structurally_valid_targets
"tay,en",prahom,no,,,lip,,,,lip,keep_all_structurally_valid_targets
"tay,en",prbwan qlcing,no,,,blackboard,,,,blackboard,keep_all_structurally_valid_targets
"tay,en",prraw,no,,,horizontal beam,,,,horizontal beam,keep_all_structurally_valid_targets
"tay,en",psaniq,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,禁忌,"bad luck, taboo; taboo","bad luck, taboo; taboo",,,,keep_all_structurally_valid_targets
"tay,en",pshut,no,,,pull (upward),,,,pull (upward),keep_all_structurally_valid_targets
"tay,en",psxu,no,,,grind,,,,grind,keep_all_structurally_valid_targets
"tay,en",ptrang,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,妝扮飾物,"ornament, decoration",,,"ornament, decoration",,keep_all_structurally_valid_targets
"tay,en",ptsue',no,,,younger siblings,,,,younger siblings,keep_all_structurally_valid_targets
"tay,en",ptwan,no,,,money cloth,,,,money cloth,keep_all_structurally_valid_targets
"tay,en",pucing,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,獵刀,end point,,,end point,,keep_all_structurally_valid_targets
"tay,en",puga',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,肚臍,navel,,,navel,,keep_all_structurally_valid_targets
"tay,en",pugu',no,,,top of the head,,,,top of the head,keep_all_structurally_valid_targets
"tay,en",pulut,no,,,clitoris,,,,clitoris,keep_all_structurally_valid_targets
"tay,en",punu',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,得瘟疫; 病毒; 瘟疫、,cholera,,,cholera,,keep_all_structurally_valid_targets
"tay,en",puqing,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,根部、源頭; 樹頭,"origin, originator; yam sprouts","origin, originator",yam sprouts,,,keep_all_structurally_valid_targets
"tay,en",pusal,no,,,twenty,,,,twenty,keep_all_structurally_valid_targets
"tay,en",pusun,no,,,magic for curing rashes,,,,magic for curing rashes,keep_all_structurally_valid_targets
"tay,en",putung,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,點火、火柴,tinder,,,tinder,,keep_all_structurally_valid_targets
"tay,en",pzi'an laqi,no,,,playground,,,,playground,keep_all_structurally_valid_targets
"tay,en",pzit,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,白腰文鳥; 麻雀,sparrow,,,sparrow,,keep_all_structurally_valid_targets
"tay,en",qabay,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,下巴,jaw,,,jaw,,keep_all_structurally_valid_targets
"tay,en",qahal,no,,,a hand of bananas,,,,a hand of bananas,keep_all_structurally_valid_targets
"tay,en",qalang hogal,no,,,town in front of the mountain,,,,town in front of the mountain,keep_all_structurally_valid_targets
"tay,en",qalang yatux,no,,,town behind the mountain,,,,town behind the mountain,keep_all_structurally_valid_targets
"tay,en",qalang,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,圍起來; 用圍牆圍起來; 部落; 部落、家鄉、國家,village,village,,,,keep_all_structurally_valid_targets
"tay,en",qaniy,no,,,this,,,,this,keep_all_structurally_valid_targets
"tay,en",qano,no,,,fat; grease; oil,,,,fat; grease; oil,keep_all_structurally_valid_targets
"tay,en",qanux,no,,,deer,,,,deer,keep_all_structurally_valid_targets
"tay,en",qapi,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,摘斷,millet field,,,millet field,,keep_all_structurally_valid_targets
"tay,en",qapu',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,柿子,scarred taro,,,scarred taro,,keep_all_structurally_valid_targets
"tay,en",qara',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,枝條; 樹枝,branch,branch,,,,keep_all_structurally_valid_targets
"tay,en",qaraw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,竹支條; 肋骨,rib; twig,rib; twig,,,,keep_all_structurally_valid_targets
"tay,en",qasa,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,那個,that,,,that,,keep_all_structurally_valid_targets
"tay,en",qasu'laka',no,,,airplane,,,,airplane,keep_all_structurally_valid_targets
"tay,en",qasu'ruma',no,,,strips of bamboo,,,,strips of bamboo,keep_all_structurally_valid_targets
"tay,en",qasu',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,船; 船隻,boat,,,boat,,keep_all_structurally_valid_targets
"tay,en",qawas,no,,,year,,,,year,keep_all_structurally_valid_targets
"tay,en",qaya,no,,,thing,,,,thing,keep_all_structurally_valid_targets
"tay,en",qba',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,手,forearm; foreleg,forearm,foreleg,,,keep_all_structurally_valid_targets
"tay,en",qbaqa',no,,,jar,,,,jar,keep_all_structurally_valid_targets
"tay,en",qbubu,no,,,hat,,,,hat,keep_all_structurally_valid_targets
"tay,en",qbuli',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,灰燼; 炭灰,ashes,,,ashes,,keep_all_structurally_valid_targets
"tay,en",qbux,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,狐狸,fox,,,fox,,keep_all_structurally_valid_targets
"tay,en",qcian,no,,,anus,,,,anus,keep_all_structurally_valid_targets
"tay,en",qengay,no,,,ear decoration,,,,ear decoration,keep_all_structurally_valid_targets
"tay,en",qeran,no,,,stick for pushing weaving into place,,,,stick for pushing weaving into place,keep_all_structurally_valid_targets
"tay,en",qeru'pgan,no,,,ninety,,,,ninety,keep_all_structurally_valid_targets
"tay,en",qeru',no,,,nine,,,,nine,keep_all_structurally_valid_targets
"tay,en",qes,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,界限,"boundary, limit",,,"boundary, limit",,keep_all_structurally_valid_targets
"tay,en",qesa',no,,,catalpa wood,,,,catalpa wood,keep_all_structurally_valid_targets
"tay,en",qetun,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,玉米,corn,,,corn,,keep_all_structurally_valid_targets
"tay,en",qhiang,no,,,shoulder,,,,shoulder,keep_all_structurally_valid_targets
"tay,en",qhniq,no,,,bird; fowl,,,,bird; fowl,keep_all_structurally_valid_targets
"tay,en",qhoniq,no,,,"tree, wood",,,,"tree, wood",keep_all_structurally_valid_targets
"tay,en",qhotul,no,,,"embers, live coals, firebrand",,,,"embers, live coals, firebrand",keep_all_structurally_valid_targets
"tay,en",qibuw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,犁; 翻土、犁田; 鍋鏟; 飯匙,"scoop, small",,,"scoop, small",,keep_all_structurally_valid_targets
"tay,en",qilis,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,傷; 傷口,"wound, injury",,,"wound, injury",,keep_all_structurally_valid_targets
"tay,en",qiway,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,遮蓋,window curtain,,,window curtain,,keep_all_structurally_valid_targets
"tay,en",qlcing,no,,,"plank, board",,,,"plank, board",keep_all_structurally_valid_targets
"tay,en",qloyux,no,,,long,,,,long,keep_all_structurally_valid_targets
"tay,en",qlyan,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,白晝、中午,noon,,,noon,,keep_all_structurally_valid_targets
"tay,en",qmahan,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,鋤草、整理園地,field,,,field,,keep_all_structurally_valid_targets
"tay,en",qmalup,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,打獵、狩獵,hunt,,,hunt,,keep_all_structurally_valid_targets
"tay,en",qmayah,no,,,field,,,,field,keep_all_structurally_valid_targets
"tay,en",qmayat qngtan,no,,,chicken farming,,,,chicken farming,keep_all_structurally_valid_targets
"tay,en",qmazyah,no,,,"field, plot of land",,,,"field, plot of land",keep_all_structurally_valid_targets
"tay,en",qmes,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,劃清界線,fence; magic,fence,magic,,,keep_all_structurally_valid_targets
"tay,en",qmici',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,跳蚤,flea,,,flea,,keep_all_structurally_valid_targets
"tay,en",qmisan,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,冬天,winter,,,winter,,keep_all_structurally_valid_targets
"tay,en",qmsya',no,,,granulated sugar,,,,granulated sugar,keep_all_structurally_valid_targets
"tay,en",qmuli',no,,,lime,,,,lime,keep_all_structurally_valid_targets
"tay,en",qnahi,no,,,jungle,,,,jungle,keep_all_structurally_valid_targets
"tay,en",qnaniq,no,,,foodstuffs,,,,foodstuffs,keep_all_structurally_valid_targets
"tay,en",qni'na kgiy,no,,,unused part of hemp when spinning,,,,unused part of hemp when spinning,keep_all_structurally_valid_targets
"tay,en",qni',no,,,bone,,,,bone,keep_all_structurally_valid_targets
"tay,en",qniwal,no,,,thin wire,,,,thin wire,keep_all_structurally_valid_targets
"tay,en",qnriang,no,,,wall,,,,wall,keep_all_structurally_valid_targets
"tay,en",qnxan,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,生活,life,,,life,,keep_all_structurally_valid_targets
"tay,en",qoli papak,no,,,rabbit,,,,rabbit,keep_all_structurally_valid_targets
"tay,en",qoli',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,老鼠; 老鼠(統稱),mouse,mouse,,,,keep_all_structurally_valid_targets
"tay,en",qoli,no,,,rat,,,,rat,keep_all_structurally_valid_targets
"tay,en",qolu',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,喉嚨; 脖子,throat,,,throat,,keep_all_structurally_valid_targets
"tay,en",qom,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,穿山甲,"anteater, pangolin","anteater, pangolin",,,,keep_all_structurally_valid_targets
"tay,en",qongu',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,織布用迴線桶,loom case,,,loom case,,keep_all_structurally_valid_targets
"tay,en",qoyaw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,長枝竹,bamboo,,,bamboo,,keep_all_structurally_valid_targets
"tay,en",qpatung,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,青蛙,frog,,,frog,,keep_all_structurally_valid_targets
"tay,en",qqlu',no,,,door,,,,door,keep_all_structurally_valid_targets
"tay,en",qrgup,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,鬼針草,Bidens pilosa,Bidens pilosa,,,,keep_all_structurally_valid_targets
"tay,en",qsap,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,(竹製的)刮麻具; 刮麻具(竹製),hatchel,,,hatchel,,keep_all_structurally_valid_targets
"tay,en",qsia',no,,,water,,,,water,keep_all_structurally_valid_targets
"tay,en",qsinuw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,獵物(統稱),beasts; game animal; prey,beasts; game animal; prey,,,,keep_all_structurally_valid_targets
"tay,en",qsuyan,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,兄姊,older sibling,,,older sibling,,keep_all_structurally_valid_targets
"tay,en",qtahi',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,螞蟻,ant,,,ant,,keep_all_structurally_valid_targets
"tay,en",qualux,no,,,rain,,,,rain,keep_all_structurally_valid_targets
"tay,en",quci,no,,,"feces, excrement",,,,"feces, excrement",keep_all_structurally_valid_targets
"tay,en",quleh,no,,,fish,,,,fish,keep_all_structurally_valid_targets
"tay,en",qulih,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,魚,fish,,,fish,,keep_all_structurally_valid_targets
"tay,en",qumah,no,,,cultivate; work,,,,cultivate; work,keep_all_structurally_valid_targets
"tay,en",quri',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,白髮,plateau,,,plateau,,keep_all_structurally_valid_targets
"tay,en",qutux,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,一,one,one,,,,keep_all_structurally_valid_targets
"tay,en",qwalax,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,下雨; 雨,rain,,,rain,,keep_all_structurally_valid_targets
"tay,en",qwang gong,no,,,"gorge, deep river bed",,,,"gorge, deep river bed",keep_all_structurally_valid_targets
"tay,en",qwang kneril,no,,,vulva,,,,vulva,keep_all_structurally_valid_targets
"tay,en",qwang qcian,no,,,anus,,,,anus,keep_all_structurally_valid_targets
"tay,en",qwang,no,,,"crack, crevice, fissure, gorge",,,,"crack, crevice, fissure, gorge",keep_all_structurally_valid_targets
"tay,en",qwas na s'num,no,,,folksong,,,,folksong,keep_all_structurally_valid_targets
"tay,en",qwas,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,歌,song,,,song,,keep_all_structurally_valid_targets
"tay,en",qwaw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,酒,wine,,,wine,,keep_all_structurally_valid_targets
"tay,en",qwayux,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,藤類; 黃藤,rattan,,,rattan,,keep_all_structurally_valid_targets
"tay,en",qwirux,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,桃子; 水蜜桃,peach tree,,,peach tree,,keep_all_structurally_valid_targets
"tay,en",qyan,no,,,leash rod of a loom,,,,leash rod of a loom,keep_all_structurally_valid_targets
"tay,en",qzimux,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,桃子,peach,,,peach,,keep_all_structurally_valid_targets
"tay,en",rahom,no,,,internal bleeding,,,,internal bleeding,keep_all_structurally_valid_targets
"tay,en",rakei,no,,,child,,,,child,keep_all_structurally_valid_targets
"tay,en",rakura,no,,,camel,,,,camel,keep_all_structurally_valid_targets
"tay,en",ramás,no,,,good; well,,,,good; well,keep_all_structurally_valid_targets
"tay,en",ramu',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,血,blood,,,blood,,keep_all_structurally_valid_targets
"tay,en",rao-i,no,,,eye,,,,eye,keep_all_structurally_valid_targets
"tay,en",raoyăk,no,,,eye,,,,eye,keep_all_structurally_valid_targets
"tay,en",rapa',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,水牛,palm,,,palm,,keep_all_structurally_valid_targets
"tay,en",rapak,no,,,flower,,,,flower,keep_all_structurally_valid_targets
"tay,en",raral,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,以前,ago; time past,ago; time past,,,,keep_all_structurally_valid_targets
"tay,en",rarar,no,,,past,,,,past,keep_all_structurally_valid_targets
"tay,en",rawin,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,堂(表)兄弟、朋友; 堂、表兄弟姐妹,cousin,cousin,,,,keep_all_structurally_valid_targets
"tay,en",rgi-ui,no,,,grass,,,,grass,keep_all_structurally_valid_targets
"tay,en",rgiax,no,,,mountain,,,,mountain,keep_all_structurally_valid_targets
"tay,en",rgrgyax,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,崇山峻嶺; 群山,"range of mountains, group of mountains","range of mountains, group of mountains",,,,keep_all_structurally_valid_targets
"tay,en",rgyax,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,山、山脊,forest; mountain,mountain,forest,,,keep_all_structurally_valid_targets
"tay,en",rhyal,no,,,"soil, earth, land",,,,"soil, earth, land",keep_all_structurally_valid_targets
"tay,en",ringgo,no,,,apple,,,,apple,keep_all_structurally_valid_targets
"tay,en",rmaw,no,,,help,,,,help,keep_all_structurally_valid_targets
"tay,en",ro-i,no,,,eye,,,,eye,keep_all_structurally_valid_targets
"tay,en",s'angun,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,罵,scolded,,,scolded,,keep_all_structurally_valid_targets
"tay,en",s'nun,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,緬懷、想念,reminisce,,,reminisce,,keep_all_structurally_valid_targets
"tay,en",s'utun papak,no,,,cover one's ears,,,,cover one's ears,keep_all_structurally_valid_targets
"tay,en",sílung,no,,,sea,,,,sea,keep_all_structurally_valid_targets
"tay,en",saoni,no,,,today,,,,today,keep_all_structurally_valid_targets
"tay,en",sbalay,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,和解,reconcile,reconcile,,,,keep_all_structurally_valid_targets
"tay,en",sbehuy,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,颳風、颱風,blow,,,blow,,keep_all_structurally_valid_targets
"tay,en",sehuy,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,芋頭,taro,,,taro,,keep_all_structurally_valid_targets
"tay,en",sgagay ita la,no,,,good-bye,,,,good-bye,keep_all_structurally_valid_targets
"tay,en",sgatu',no,,,noisy,,,,noisy,keep_all_structurally_valid_targets
"tay,en",sgnaw,no,,,grape,,,,grape,keep_all_structurally_valid_targets
"tay,en",siam,no,,,fat; grease; oil,,,,fat; grease; oil,keep_all_structurally_valid_targets
"tay,en",siliq,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,繡眼畫眉,bird; rice bird,bird; rice bird,,,,keep_all_structurally_valid_targets
"tay,en",silung,no,,,ocean,,,,ocean,keep_all_structurally_valid_targets
"tay,en",simu,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,你們,you all,you all,,,,keep_all_structurally_valid_targets
"tay,en",singxu',no,,,priest,,,,priest,keep_all_structurally_valid_targets
"tay,en",siukh,no,,,fish,,,,fish,keep_all_structurally_valid_targets
"tay,en",siyam,no,,,fat; grease; oil,,,,fat; grease; oil,keep_all_structurally_valid_targets
"tay,en",ska',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,中間,split,,,split,,keep_all_structurally_valid_targets
"tay,en",sknux,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,臭,stink,,,stink,,keep_all_structurally_valid_targets
"tay,en",sku,no,,,put away,,,,put away,keep_all_structurally_valid_targets
"tay,en",skutaw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,胸脯; 胸腔,chest,,,chest,,keep_all_structurally_valid_targets
"tay,en",slaq,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,水田、爛泥巴,"field, plot; rice paddy","field, plot; rice paddy",,,,keep_all_structurally_valid_targets
"tay,en",smalit,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,砍; 砍草; 砍除,cut (tree),,,cut (tree),,keep_all_structurally_valid_targets
"tay,en",smapoh,no,,,sweep,,,,sweep,keep_all_structurally_valid_targets
"tay,en",smayuk,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,燒(如燒獵物的毛); 燒烤去毛,braise,braise,,,,keep_all_structurally_valid_targets
"tay,en",smka,no,,,half,,,,half,keep_all_structurally_valid_targets
"tay,en",smyax,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,明亮; 照亮、光亮,bright; clean,bright,clean,,,keep_all_structurally_valid_targets
"tay,en",snpung,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,裁決、丈量,"design, intention",,,"design, intention",,keep_all_structurally_valid_targets
"tay,en",sokan,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,味道; 聞、嗅,flavor,,,flavor,,keep_all_structurally_valid_targets
"tay,en",soki',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,鐮刀,hatchet,,,hatchet,,keep_all_structurally_valid_targets
"tay,en",spi',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,夢,dream,,,dream,,keep_all_structurally_valid_targets
"tay,en",sqruw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,用...欺騙,"trap, weir",,,"trap, weir",,keep_all_structurally_valid_targets
"tay,en",squliq,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,人; 別人、外人,person,person,,,,keep_all_structurally_valid_targets
"tay,en",ssom bnrwan,no,,,eraser,,,,eraser,keep_all_structurally_valid_targets
"tay,en",st'uqu,no,,,angry,,,,angry,keep_all_structurally_valid_targets
"tay,en",suagi',no,,,wife's younger sister,,,,wife's younger sister,keep_all_structurally_valid_targets
"tay,en",sumiq,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,衣虱,louse,,,louse,,keep_all_structurally_valid_targets
"tay,en",suruw,no,,,behind,,,,behind,keep_all_structurally_valid_targets
"tay,en",syon,no,,,likes to do,,,,likes to do,keep_all_structurally_valid_targets
"tay,en",szuy,no,,,rock sth.,,,,rock sth.,keep_all_structurally_valid_targets
