source_row	source_form	form	evidence	raw_form
4658	Tayra ko napina ita a miholol.	Tayra ko papinapina ita a miholol.	source/upstream/p.txt:1942	Tayra ko papinapina ita a miholol.
4668	O maan ko cipinangan iso a mafana'?	O maan ko kacipinangan iso a mafana'?	p.txt:1971	O maan ko kacipinagan iso a mafana'?
4669	O nangan nira konini.	O pinangan nira konini.	source/upstream/p.txt:1974	O pinagan nira konini.
4706	sing kita a tayra. O sing aca ita	Papising kita a tayra. O papising aca ita	p.txt:2019	Papisig kita a tayra. O papisig aca ita
4709	Mapisot ko ciwawa nira.	Mapisot ko kaciwawa nira.	p.txt:2030	Mapisot ko kaciwawa nira.
4711	O tawen konini a sera.	O papitawen konini a sera.	source/upstream/p.txt:2045	O papitawen konini a sera.
4716	pito a romi'ad i pahanhan to ko was.	Saka pito a romi'ad i pahanhan to ko Kawas.	source/upstream/p.txt:2069	Saka pito a romi'ad i pahanhan to ko Kawas.
4717	to kita a tayra.	Papito kita a tayra.	p.txt:2072	Papito kita a tayra.
4759	Ano romakat kiso i, aka po'lin.	Ano romakat kiso i, aka kapo'lin.	p.txt:2357	Ano romakat kiso i, aka kapo'lin.
4768	Mapolong kita a hok.	Mapolong kita a malahok.	p.txt:2388	Mapolog kita a malahok.
4782	Popoten riya Yis to kiradom a pakafoti' i toptop.	Popoten ni Mariya ci Yis to kiradom a pakafoti' i toptop.	p.txt:2441	Popoten ni Mariya ci Yis to kiradom a pakafoti' i toptop.
4808	Cipoyapoy riya Yisan.	Cipoyapoy ci Mariya ci Yisan.	p.txt:2583	Cipoyapoy ci Mariya ci Yisan.
4809	'onen ko poyapoy iso.	Na'onen ko poyapoy iso.	p.txt:2586	Na'onen ko poyapoy iso.
4821	laradiw koya tamdaw.	Kalaradiw koya tamdaw.	r.txt:63	Kalaradiw koya tamdaw.
4840	Yo mafana'to kako i, sarahker kako.	Yo mafana'to kako i, sarahker sa kako.	r.txt:191	Yo mafana'to kako i, sarahker sa kako.
4869	O pararamodan to wawa anini.	O pipararamodan to wawa anini.	source/upstream/r.txt:318	O pipararamodan to wawa anini.
4870	to a kasaramoramod no kahirahira no maeferay a 'ayam ko maalaay Nowa.	Pito a kasaramoramod no kahirahira no maeferay a 'ayam ko maalaay ni Nowa.	r.txt:323	Pito a kasaramoramod no kahirahira no maeferay a 'ayam ko maalaay ni Nowa.
4876	Mirangi kita to was a masanga'.	Mirangi kita to Kawas a masanga'.	r.txt:156	Miragi kita to Kawas a masaga'.
4884	parapic kako to demak nira.	Maparapic kako to demak nira.	source/upstream/r.txt:387	Maparapic kako to demak nira.
4887	parapot kako to demak no kapot.	Maparapot kako to demak no kapot.	source/upstream/r.txt:402	Maparapot kako to demak no kapot.
4891	Harara cingra i takowanan.	Harara sa cingra i takowanan.	r.txt:420	Harara sa cigra i takowanan.
4892	Sarara cingra.	Sarara sa cingra.	r.txt:423	Sarara sa cigra.
4918	Sararima ko faloco' ako anini.	Sararima sa ko faloco' ako anini.	r.txt:537	Sararima sa ko faloco' ako anini.
4933	O nga'ayay a ratoh ko sowal to yniay Yisan.	O nga'ayay a ratoh ko sowal to pakayniay ci Yisan.	r.txt:615	O ga'ayay a ratoh ko sowal to pakayniay ci Yisan.
4936	na ko kasarawang no loma'?	Pina ko kasarawang no loma'?	r.txt:632	Pina ko kasarawag no loma'?
4942	Rarawraw ko salikaka to yniay i nika patay no tomok.	Rarawraw ko salikaka to pakayniay i nika patay no tomok.	r.txt:658	Rarawraw ko salikaka to pakayniay i nika patay no tomok.
4949	tolo a rayray no to'as ko mama ako.	Saka tolo a rayray no to'as ko mama ako.	r.txt:693	Saka tolo a rayray no to'as ko mama ako.
4955	Pareda'en no was cingra a pakafoti'.	Pareda'en no Kawas cingra a pakafoti'.	r.txt:725	Pareda'en no Kawas cigra a pakafoti'.
4956	reda'sa cingra a mafoti'.	Pasareda'sa cingra a mafoti'.	source/upstream/r.txt:728	Pasareda'sa cigra a mafoti'.
4964	Rdoen ko olah iso to was.	Rdoen ko olah iso to Kawas.	source/upstream/r.txt:773	Rdoen ko olah iso to Kawas.
4968	na a rekad ko aalaen ita?	Pina a rekad ko aalaen ita?	r.txt:1242	Pina a rekad ko aalaen ita?
4969	na a rekad ko aasipen ita?	Pina a rekad ko aasipen ita?	r.txt:1245	Pina a rekad ko aasipen ita?
4970	Tosa a rekad ko pasadakan ako a tikami.	Tosa a rekad ko nipasadakan ako a tikami.	source/upstream/r.txt:1248	Tosa a rekad ko nipasadakan ako a tikami.
4974	Rkoen ita ko limo'ot Yis.	Rkoen ita ko limo'ot ni Yis.	source/upstream/r.txt:1265	Rkoen ita ko limo'ot ni Yis.
4983	O pirenokan ita ko Wama a was.	O pirenokan ita ko Wama a Kawas.	r.txt:1307	O pirenokan ita ko Wama a Kawas.
4984	Pirenok kiso i ngraan.	Pirenok kiso i cingraan.	r.txt:1310	Pirenok kiso i cigraan.
4987	Marepet no sofitay Yis a mapalit.	Marepet no sofitay ci Yis a mapalit.	r.txt:1621	Marepet no sofitay ci Yis a mapalit.
4990	Marepon to ko patiko ita to tadah.	Marepon to ko pipatiko ita to tadah.	r.txt:1640	Marepon to ko pipatiko ita to tadah.
5007	rarihaday cangra a tatosa.	Mararihaday cangra a tatosa.	source/upstream/r.txt:907	Mararihaday cagra a tatosa.
5008	Rihaked kako ngraan.	Rihaked kako cingraan.	r.txt:914	Rihaked kako cigraan.
5009	Awaay aca ko karihakedan ako ngraan.	Awaay aca ko karihakedan ako cingraan.	r.txt:917	Awaay aca ko karihakedan ako cigraan.
5010	O karihakedan ako Yis.	O karihakedan ako ci Yis.	r.txt:920	O karihakedan ako ci Yis.
5022	O maan ko sariko'an iso itiya?	O maan ko nisariko'an iso itiya?	r.txt:985	O maan ko nisariko'an iso itiya?
5030	Palimo'ot Yis i, sarimadac ko nanom.	Palimo'ot sa ci Yis i, sarimadac sa ko nanom.	source/upstream/r.txt:1023	Palimo'ot sa ci Yis i, sarimadac sa ko nanom.
5031	Sarimadac ko paenan no loma' iso.	Sarimadac sa ko paenan no loma' iso.	r.txt:1026	Sarimadac sa ko paenan no loma' iso.
5055	raritingen mson ko wikol no koyo.	Pararitingen ni Samson ko wikol no koyo.	r.txt:1145	Pararitigen ni Samson ko wikol no koyo.
5074	Cima ko mirofoay ngraan?	Cima ko mirofoay cingraan?	r.txt:1362	Cima ko mirofoay cigraan?
5075	tiya o marofoay kako anini.	Matiya o marofoay kako anini.	r.txt:1365	Matiya o marofoay kako anini.
5084	O roma a tamdaw i maolah ngraan. O roma i caay ka olah.	O roma a tamdaw i maolah cingraan. O roma i caay ka olah.	r.txt:1420	O roma a tamdaw i maolah cigraan. O roma i caay ka olah.
5087	Saromaroma ko romi'ad.	Saromaroma sa ko romi'ad.	r.txt:1431	Saromaroma sa ko romi'ad.
5090	Saromi'ad kako a mafoti'.	Saromi'ad sa kako a mafoti'.	r.txt:1450	Saromi'ad sa kako a mafoti'.
5091	Ano hakowa a romi'ad i, o malaheci konini a demak.	Ano hakowa a romi'ad i, o mamalaheci konini a demak.	source/upstream/r.txt:1453	Ano hakowa a romi'ad i, o mamalaheci konini a demak.
5092	pina a romi'ad anini?	Saka pina a romi'ad anini?	r.txt:1456	Saka pina a romi'ad anini?
5094	samaan ko romi'ad anini?	Masamaan ko romi'ad anini?	r.txt:1466	Masamaan ko romi'ad anini?
5097	Miromot cingra to romakatan no 'alo.	Miromot cingra to karomakatan no 'alo.	r.txt:1483	Miromot cigra to karomakatan no 'alo.
5099	Mironang ko kolong i ngota'ay a nanom.	Mironang ko kolong i mangota'ay a nanom.	r.txt:1493	Mironag ko kolog i magota'ay a nanom.
5100	Ala rongorongoh cangra a caciyaw.	Ala rongorongoh sa cangra a caciyaw.	source/upstream/r.txt:1375	Ala rogorogoh sa cagra a caciyaw.
5112	Aka pakaroray i takowanan.	Aka pipakaroray i takowanan.	r.txt:1546	Aka pipakaroray i takowanan.
5130	'eleten ko kaos no cokap iso.	Sa'eleten ko kaos no cokap iso.	s.txt:42	Sa'eleten ko kaos no cokap iso.
5141	'opoen ako ko wawa.	Sa'opoen ako ko wawa.	s.txt:73	Sa'opoen ako ko wawa.
5142	'opoen ako ko wawa.	Pasa'opoen ako ko wawa.	s.txt:76	Pasa'opoen ako ko wawa.
5144	'opoen ko nialaan namo a foting.	Sa'opoen ko nialaan namo a foting.	s.txt:82	Sa'opoen ko nialaan namo a fotig.
5146	Caay ka sa'osi cingra a lhakelong i titaanan.	Caay ka sa'osi cingra a milhakelong i titaanan.	source/upstream/s.txt:94	Caay ka sa'osi cigra a milhakelog i titaanan.
5147	na ko sa'osi?	Pina ko sa'osi?	s.txt:99	Pina ko sa'osi?
5169	daken ko 'ayam.	Pasadaken ko 'ayam.	s.txt:153	Pasadaken ko 'ayam.
5180	'mel ko fali anini.	Sa'mel ko fali anini.	source/upstream/s.txt:57	Sa'mel ko fali anini.
5189	fa cingra to fana' ako.	Misafa cingra to fana' ako.	s.txt:231	Misafa cigra to fana' ako.
5195	Safana' ira cingra inacila.	Safana' sa ira cingra inacila.	source/upstream/s.txt:253	Safana' sa ira cigra inacila.
5196	Safana'en satan Yis a papisanga' to epang.	Safana'en ni satan ci Yis a papisanga' to epang.	source/upstream/s.txt:258	Safana'en ni satan ci Yis a papisaga' to epag.
5203	faw cecay ko fafoy niyam.	Safaw cecay ko fafoy niyam.	source/upstream/s.txt:276	Safaw cecay ko fafoy niyam.
5206	Masafeleng ko takora' i yil a 'alo.	Masafeleng ko takora' i Nayil a 'alo.	s.txt:321	Masafeleg ko takora' i Nayil a 'alo.
5219	heto o ngcah ko ro'ay itira.	Saheto o Pangcah ko maro'ay itira.	s.txt:395	Saheto o Pagcah ko maro'ay itira.
5220	Itini saho kako a lama.	Itini saho kako a misalama.	s.txt:380	Itini saho kako a misalama.
5221	ho saho ira kiso.	Saho saho ira kiso.	s.txt:385	Saho saho ira kiso.
5249	Aka saken ko riko'.	Aka sakasaken ko riko'.	source/upstream/s.txt:451	Aka sakasaken ko riko'.
5257	Mitolon kako to saki cawan.	Mitolon kako to saki ci Kacawan.	s.txt:464	Mitolon kako to saki ci Kacawan.
5265	ksaken ko riko' iso.	Saksaken ko riko' iso.	s.txt:493	Saksaken ko riko' iso.
5270	O lamaay kami a tayni.	O misalamaay kami a tayni.	source/upstream/s.txt:516	O misalamaay kami a tayni.
5292	lofen ko faloco' noya wawa.	Salofen ko faloco' noya wawa.	s.txt:589	Salofen ko faloco' noya wawa.
5293	lofen ita ko nitilidan ita a kimad.	Salofen ita ko nitilidan ita a kimad.	s.txt:592	Salofen ita ko nitilidan ita a kimad.
5301	long cingra a komaen to epah.	Pasalong cingra a komaen to epah.	s.txt:614	Pasalog cigra a komaen to epah.
5302	longan kiso a ciriko' tono tayring.	Salongan kiso a ciriko' tono tayring.	s.txt:621	Salogan kiso a ciriko' tono tayrig.
5310	madahen ko piseti' toya wawa	Samadahen ko piseti' toya wawa	s.txt:669	Samadahen ko piseti' toya wawa
5311	madahen ko pasowal toya wawa.	Samadahen ko pipasowal toya wawa.	source/upstream/s.txt:672	Samadahen ko pipasowal toya wawa.
5329	msamen no tata'angay a wawa ko mangay a wawa.	Samsamen no tata'angay a wawa ko mamangay a wawa.	s.txt:748	Samsamen no tata'agay a wawa ko mamagay a wawa.
5340	nengseng a nengnengen ko ciriko' iso tonini.	Sanengseng a nengnengen ko kaciriko' iso tonini.	s.txt:792	Sanegseg a negnegen ko kaciriko' iso tonini.
5342	nga'en no was ko kakarayan ato hekal.	Sanga'en no Kawas ko kakarayan ato hekal.	s.txt:336	Saga'en no Kawas ko kakarayan ato hekal.
5343	nga'en ko paliding iso.	Pasanga'en ko paliding iso.	s.txt:341	Pasaga'en ko palidig iso.
5347	ngasifen ko felac.	Pasangasifen ko felac.	s.txt:356	Pasagasifen ko felac.
5353	O maan ko kasapaan iso ngraan?	O maan ko kasapaan iso cingraan?	s.txt:819	O maan ko kasapaan iso cigraan?
5390	psapen ko tireng iso.	Sapsapen ko tireng iso.	s.txt:900	Sapsapen ko tireg iso.
5391	Pakasapsap ko was to faloco' ita.	Pakasapsap ko Kawas to faloco' ita.	s.txt:905	Pakasapsap ko Kawas to faloco' ita.
5404	Sarocoden ko faloco' iso a maolah to was.	Sarocoden ko faloco' iso a maolah to Kawas.	s.txt:948	Sarocoden ko faloco' iso a maolah to Kawas.
5409	sangien no wawa ko waco.	Sasangien no wawa ko waco.	source/upstream/s.txt:963	Sasagien no wawa ko waco.
5423	ng kita.	Pasasing kita.	s.txt:991	Pasasig kita.
5425	O lisataay Cakay.	O milisataay ci Cakay.	s.txt:1008	O milisataay ci Cakay.
5428	O matekesay a sata'os ko sapisipasip riya to tireng Yis.	O matekesay a sata'os ko sapisipasip ni Mariya to tireng ni Yis.	source/upstream/s.txt:1026	O matekesay a sata'os ko sapisipasip ni Mariya to tireg ni Yis.
5429	ta'osay ko fokes nira.	Mata'osay ko fokes nira.	source/upstream/s.txt:1029	Mata'osay ko fokes nira.
5431	tadamatamata han ako a minengneng i, caay ka hapinang ako.	Satadamatamata han ako a minengneng i, caay ka hapinang ako.	s.txt:1038	Satadamatamata han ako a minegneg i, caay ka hapinag ako.
5448	O misawad kako to tiraay a tayal.	O mamisawad kako to matiraay a tayal.	s.txt:1088	O mamisawad kako to matiraay a tayal.
5452	palasawad to koya niyaro'.	Mapalasawad to koya niyaro'.	s.txt:1102	Mapalasawad to koya niyaro'.
5453	wad kako a mitilid.	Misawad kako a mitilid.	s.txt:1107	Misawad kako a mitilid.
5458	Aka wien cingra.	Aka sawien cingra.	s.txt:1123	Aka sawien cigra.
5471	ysayen ko fokes iso.	Saysayen ko fokes iso.	s.txt:1175	Saysayen ko fokes iso.
5473	ysayen nira ko sowal niyam.	Saysayen nira ko sowal niyam.	s.txt:1181	Saysayen nira ko sowal niyam.
5474	hengangay a saytaw	kahengangay a saytaw	s.txt:1188	kahegagay a saytaw
5475	Namimaan kiso iro sedak ira kiso anini?	Namimaan kiso iro sedak sa ira kiso anini?	source/upstream/s.txt:1195	Namimaan kiso iro sedak sa ira kiso anini?
5478	Mafana' Yis a misedal to faloco' ita	Mafana' ci Yis a misedal to faloco' ita	s.txt:1206	Mafana' ci Yis a misedal to faloco' ita
5501	O pisekayan no faloco' ako ko Wama a was.	O pisekayan no faloco' ako ko Wama a Kawas.	s.txt:1980	O pisekayan no faloco' ako ko Wama a Kawas.
5503	sasekong cangra tatosa	Masasekong cangra tatosa	source/upstream/s.txt:1991	Masasekog cagra tatosa
5519	pasemsem nira kako.	Mapasemsem nira kako.	s.txt:1256	Mapasemsem nira kako.
5526	wadaw ko misapasenesenengay a sowal.	Sawadaw ko misapasenesenengay a sowal.	source/upstream/s.txt:2150	Sawadaw ko misapasenesenegay a sowal.
5541	kahad ko sera niyam.	Kakahad ko sera niyam.	source/upstream/s.txt:2797	Kakahad ko sera niyam.
5552	Fahal cingra a maseta'.	Fahal sa cingra a maseta'.	s.txt:2836	Fahal sa cigra a maseta'.
5561	O saseti'en no mama hananay ko wawa nira a lof.	O saseti'en no mama hananay ko wawa nira a misalof.	s.txt:2906	O saseti'en no mama hananay ko wawa nira a misalof.
5567	sasetol kita.	Masasetol kita.	s.txt:2935	Masasetol kita.
5581	sasiekeeked ko aro' no finawlan.	Masasiekeeked ko aro' no finawlan.	s.txt:1391	Masasiekeeked ko aro' no finawlan.
5592	Itinien cingra i fo'an.	Itinien cingra i sasifo'an.	s.txt:1491	Itinien cigra i sasifo'an.
5605	Misiket ko faloco' ako Yisan.	Misiket ko faloco' ako ci Yisan.	s.txt:1595	Misiket ko faloco' ako ci Yisan.
5613	lsil cangra to tayal.	Sasilsil sa cangra to tayal.	s.txt:1645	Sasilsil sa cagra to tayal.
5620	Tatiih a simanta' a komaen to titi.	Tatiih a simanta' sa a komaen to titi.	s.txt:1689	Tatiih a simanta' sa a komaen to titi.
5623	Masimaw no was ko faloco' ako.	Masimaw no Kawas ko faloco' ako.	s.txt:1702	Masimaw no Kawas ko faloco' ako.
5626	O lasimeday a tamdaw cingra.	O kalasimeday a tamdaw cingra.	s.txt:1715	O kalasimeday a tamdaw cigra.
5645	O kasini'adaan a tamdaw koya marofoay.	O kakasini'adaan a tamdaw koya marofoay.	source/upstream/s.txt:1777	O kakasini'adaan a tamdaw koya marofoay.
5646	O lasini'adaay a was ko was ita.	O kalasini'adaay a Kawas ko Kawas ita.	s.txt:1782	O kalasini'adaay a Kawas ko Kawas ita.
5647	O nano sini'ada no was ko pipa'orip nira i titaanan.	O nano sini'ada no Kawas ko sakapipa'orip nira i titaanan.	s.txt:1787	O nano sini'ada no Kawas ko sakapipa'orip nira i titaanan.
5656	enay to siri	pakaenay to siri	s.txt:1841	pakaenay to siri
5664	lasiwala kako.	Kalasiwala kako.	s.txt:1897	Kalasiwala kako.
5677	yoren ko rakat iso.	Pasasiyoren ko rakat iso.	s.txt:1956	Pasasiyoren ko rakat iso.
5678	yoren ko faloco' iso.	Pasasiyoren ko faloco' iso.	s.txt:1959	Pasasiyoren ko faloco' iso.
5692	na a so'ot ko aalaen?	Pina a so'ot ko aalaen?	s.txt:2252	Pina a so'ot ko aalaen?
5700	liso'so'en koya riko' a mipawali.	Paliso'so'en koya riko' a mipawali.	s.txt:2300	Paliso'so'en koya riko' a mipawali.
5702	so^so ko kolong iso.	Maso^so ko kolong iso.	s.txt:2285	Maso^so ko kolog iso.
5703	so^so ko kolong iso.	Maso^so ko kolong iso.	s.txt:2290	Maso^so ko kolog iso.
5742	Solinga'en ko na'ang tonini a tilid.	Solinga'en ko pina'ang tonini a tilid.	s.txt:2475	Soliga'en ko pina'ag tonini a tilid.
5745	Sololen ko kilang a talalaeno.	Sololen ko kilang a patalalaeno.	source/upstream/s.txt:2497	Sololen ko kilag a patalalaeno.
5753	Solsolen Atam ko papah no kilang a nga' to talip.	Solsolen na Atam ko papah no kilang a misanga' to talip.	s.txt:2531	Solsolen na Atam ko papah no kilag a misaga' to talip.
5755	lisomaden ko faloco'.	Palisomaden ko faloco'.	s.txt:2547	Palisomaden ko faloco'.
5763	sasongtol ko paliding nangra tatosa.	Masasongtol ko paliding nangra tatosa.	s.txt:2387	Masasogtol ko palidig nagra tatosa.
5764	pasongtol nira kako.	Mapasongtol nira kako.	s.txt:2390	Mapasogtol nira kako.
5786	lisoso'enho.	Palisoso'enho.	s.txt:2690	Palisoso'enho.
5815	Ta'esel ko pinengneng no was.	Ta'esel sa ko pinengneng no Kawas.	source/upstream/t.txt:110	Ta'esel sa ko pinegneg no Kawas.
5824	O tatapangan no citaneng ko pita'ong to was.	O tatapangan no sakacitaneng ko pita'ong to Kawas.	t.txt:103	O tatapagan no sakacitaneg ko pita'og to Kawas.
5832	Patadah kako ngraan.	Patadah kako cingraan.	t.txt:163	Patadah kako cigraan.
5833	Mitadah kako to payso ngraan.	Mitadah kako to payso cingraan.	t.txt:166	Mitadah kako to payso cigraan.
5834	Tadamaan ko olah no was.	Tadamaan ko olah no Kawas.	t.txt:174	Tadamaan ko olah no Kawas.
5839	Tadamaanay ko pataheka nira.	Tadamaanay ko pipataheka nira.	source/upstream/t.txt:192	Tadamaanay ko pipataheka nira.
5849	Tadek cingra a komaen i loma' niyam.	Tadek sa cingra a komaen i loma' niyam.	source/upstream/t.txt:237	Tadek sa cigra a komaen i loma' niyam.
5859	Tata'ang ko fali, saka tadipi kako i 'ongcoy.	Tata'ang ko fali, saka tadipi sa kako i 'ongcoy.	t.txt:275	Tata'ag ko fali, saka tadipi sa kako i 'ogcoy.
5867	Tadtaden ko sowal no was a mipatala to sapakimad.	Tadtaden ko sowal no Kawas a mipatala to sapakimad.	t.txt:331	Tadtaden ko sowal no Kawas a mipatala to sapakimad.
5869	Awaay to ko to'eman. ta'engad sato imatini.	Awaay to ko to'eman. Sata'engad sato imatini.	t.txt:20	Awaay to ko to'eman. Sata'egad sato imatini.
5870	O ta'engaday to faloco' ita ko sowal no was.	O pata'engaday to faloco' ita ko sowal no Kawas.	t.txt:23	O pata'egaday to faloco' ita ko sowal no Kawas.
5894	citahadoyan to sapad a talahekal.	Kacitahadoyan to sapad a talahekal.	source/upstream/t.txt:592	Kacitahadoyan to sapad a talahekal.
5897	O mikowanay ko was to tahaf no kakarayan.	O mikowanay ko Kawas to tahaf no kakarayan.	t.txt:605	O mikowanay ko Kawas to tahaf no kakarayan.
5915	Mitahic kako i ngraan to pipadang nira i takowanan.	Mitahic kako i cingraan to pipadang nira i takowanan.	t.txt:641	Mitahic kako i cigraan to pipadag nira i takowanan.
5933	Aka satakaraw to faloco'.	Aka pisatakaraw to faloco'.	t.txt:785	Aka pisatakaraw to faloco'.
5940	Tiliden lato ko paya a patakec i ciwcika.	Tiliden ni Pilato ko paya a patakec i ciwcika.	t.txt:827	Tiliden ni Pilato ko paya a patakec i ciwcika.
5978	sitala cingra i lalan.	Misitala cingra i lalan.	t.txt:1005	Misitala cigra i lalan.
5989	O tatalahekal Yis Kristo.	O tatalahekal ci Yis Kristo.	t.txt:1063	O tatalahekal ci Yis Kristo.
5994	Talaktak ko losa' nira.	Talaktak sa ko losa' nira.	source/upstream/t.txt:1086	Talaktak sa ko losa' nira.
6047	Malatamdaw to Yis.	Malatamdaw to ci Yis.	t.txt:1319	Malatamdaw to ci Yis.
6049	satamdaw koya wawa.	Masatamdaw koya wawa.	t.txt:1329	Masatamdaw koya wawa.
6050	tamdamdawen no mama kako.	Palatamdamdawen no mama kako.	source/upstream/t.txt:1332	Palatamdamdawen no mama kako.
6073	Tanektek ko tomirengan no loma' niyam.	Tanektek ko katomirengan no loma' niyam.	t.txt:1458	Tanektek ko katomiregan no loma' niyam.
6096	Tanotangic Tafiti a macokacok.	Tanotangic sa ci Tafiti a macokacok.	t.txt:495	Tanotagic sa ci Tafiti a macokacok.
6100	ming ko tangila no rinom.	Miming ko tangila no rinom.	t.txt:510	Mimig ko tagila no rinom.
6110	Yo pakatengil cingra tonini a sowal i, tangsol cingra a lomowad.	Yo pakatengil cingra tonini a sowal i, tangsol sa cingra a lomowad.	t.txt:554	Yo pakategil cigra tonini a sowal i, tagsol sa cigra a lomowad.
6125	Tanotireng koya kapah a minokay.	Tanotireng sa koya kapah a minokay.	t.txt:1520	Tanotireg sa koya kapah a minokay.
6128	Tayra cingra i taowanan a lama.	Tayra cingra i taowanan a misalama.	t.txt:1532	Tayra cigra i taowanan a misalama.
6140	O was ko mitapalay to demak ita o tamdaw.	O Kawas ko mitapalay to demak ita o tamdaw.	t.txt:1617	O Kawas ko mitapalay to demak ita o tamdaw.
6141	Tatapal ko sofitay a romakat.	Tatapal sa ko sofitay a romakat.	t.txt:1622	Tatapal sa ko sofitay a romakat.
6142	O Tapang ako Yis	O Tapang ako ci Yis	t.txt:1574	O Tapag ako ci Yis
6148	Satapang kita anini a matayal.	Satapang sa kita anini a matayal.	t.txt:1597	Satapag sa kita anini a matayal.
6162	Mitapi' Yakop Lakiran aci Liyaan.	Mitapi' ci Yakop ci Lakiran aci Liyaan.	t.txt:1668	Mitapi' ci Yakop ci Lakiran aci Liyaan.
6174	Citapodo to ko pising Mosi.	Citapodo to ko pising ni Mosi.	source/upstream/t.txt:1726	Citapodo to ko pisig ni Mosi.
6177	I taporo Yis a mapacek i ciwcika.	I taporo ci Yis a mapacek i ciwcika.	t.txt:1740	I taporo ci Yis a mapacek i ciwcika.
6178	sataporo ko omah niyam.	Masataporo ko omah niyam.	t.txt:1743	Masataporo ko omah niyam.
6196	Taringafoh cingra a lomowad a tayra i Taypak.	Taringafoh sa cingra a lomowad a tayra i Taypak.	t.txt:1166	Tarigafoh sa cigra a lomowad a tayra i Taypak.
6208	O tarokos Yis Kristo wlo.	O tarokos ni Yis Kristo ci Pawlo.	t.txt:1882	O tarokos ni Yis Kristo ci Pawlo.
6213	Tastasen nira ko kikay a lim to samo'.	Tastasen nira ko kikay a mikilim to samo'.	t.txt:1903	Tastasen nira ko kikay a mikilim to samo'.
6237	o tatenaan no ^tang	o tatenaan no pa^tang	t.txt:2031	o tatenaan no pa^tag
6243	Yo pakatengil kako i satatiih ko harateng ako.	Yo pakatengil kako i satatiih sa ko harateng ako.	t.txt:2006	Yo pakategil kako i satatiih sa ko harateg ako.
6244	Aka satatiih i takowanan.	Aka pisatatiih i takowanan.	t.txt:2009	Aka pisatatiih i takowanan.
6255	epod cingra i tatodong no tomirengan Yis.	Maepod cingra i tatodong no katomirengan ni Yis.	t.txt:2050	Maepod cigra i tatodog no katomiregan ni Yis.
6262	Caay ko tatatoyen ko tiniay	Caay ko tatatoyen ko matiniay	t.txt:2085	Caay ko tatatoyen ko matiniay
6263	patatoy kako tonini a codad.	Mapatatoy kako tonini a codad.	t.txt:2088	Mapatatoy kako tonini a codad.
6266	Ana: a matawa tan.	Ana: a matawa ci Satan.	t.txt:2102	Ana: a matawa ci Satan.
6275	Tawi'ing ko fongoh Yis ta lafot sato ko sela' nira.	Tawi'ing sa ko fongoh ni Yis ta lafot sato ko sela' nira.	t.txt:2142	Tawi'ig sa ko fogoh ni Yis ta lafot sato ko sela' nira.
6301	Tedac ko piasip ita toya codad.	Tedac sa ko piasip ita toya codad.	t.txt:2297	Tedac sa ko piasip ita toya codad.
6305	Yis ko mafana'ay a mitedal to tiniay.	Ci Yis ko mafana'ay a mitedal to matiniay.	t.txt:2312	Ci Yis ko mafana'ay a mitedal to matiniay.
6313	Yo lifeten no tawki nngra i, matefad to cingra.	Yo lifeten no tawki cinngra i, matefad to cingra.	source/upstream/t.txt:2398	Yo lifeten no tawki cingra i, matefad to cigra.
6321	nay tefingen no was ko faloco' nira ta masalof cingra.	Nanay tefingen no Kawas ko faloco' nira ta masalof cingra.	t.txt:2435	Nanay tefigen no Kawas ko faloco' nira ta masalof cigra.
6322	Matefing to no was kako.	Matefing to no Kawas kako.	t.txt:2438	Matefig to no Kawas kako.
6326	Matefoc no was kako.	Matefoc no Kawas kako.	t.txt:2464	Matefoc no Kawas kako.
6328	sapatefoc to raraw ita Yis.	sapatefoc to raraw ita ci Yis.	t.txt:2470	sapatefoc to raraw ita ci Yis.
6335	Matekal koya ^tang.	Matekal koya pa^tang.	t.txt:3232	Matekal koya pa^tag.
6362	tatekong cangra tatosa.	Matatekong cangra tatosa.	t.txt:3341	Matatekog cagra tatosa.
6375	tatelek kita to sowal.	Matatelek kita to sowal.	source/upstream/t.txt:3420	Matatelek kita to sowal.
6376	O tatelekan no was ato finawlan nira konini.	O katatelekan no Kawas ato finawlan nira konini.	t.txt:3423	O katatelekan no Kawas ato finawlan nira konini.
6379	Kinatelel ko namal.	Kinatelel sa ko namal.	t.txt:3436	Kinatelel sa ko namal.
6390	samaan ko teloc noya demak?	Masamaan ko teloc noya demak?	t.txt:3498	Masamaan ko teloc noya demak?
6411	Temoktemok ko faloco' ako.	Temoktemok sa ko faloco' ako.	t.txt:3596	Temoktemok sa ko faloco' ako.
6414	Matena' ko romakat niyam.	Matena' ko karomakat niyam.	t.txt:3610	Matena' ko karomakat niyam.
6415	Patenak cingra to sowal no was.	Patenak cingra to sowal no Kawas.	t.txt:3617	Patenak cigra to sowal no Kawas.
6417	Matenak ko sowal to yniay to demak nira.	Matenak ko sowal to pakayniay to demak nira.	t.txt:3623	Matenak ko sowal to pakayniay to demak nira.
6425	tennged ko ceka	Mitennged ko ceka	source/upstream/t.txt:2508	Mitenged ko ceka
6426	w^iro tenged kiso?	Naw^iro tenged sa kiso?	t.txt:2511	Naw^iro teged sa kiso?
6434	tatengteng kita.	Matatengteng kita.	t.txt:2348	Matategteg kita.
6439	tenorenho ko fafaca'en a riko'.	Patenorenho ko fafaca'en a riko'.	source/upstream/t.txt:3697	Patenorenho ko fafaca'en a riko'.
